,year,price,mileage,engine_size,Automatic,Manual,OtherTransmission,Semi-Auto,Diesel,Hybrid,OtherFuel,Petrol
0,2020,30495,1200.0,2.0,1,0,0,0,1,0,0,0
1,2020,29989,1000.0,1.5,1,0,0,0,0,0,0,1
2,2020,37899,500.0,2.0,1,0,0,0,1,0,0,0
3,2019,30399,5000.0,2.0,1,0,0,0,1,0,0,0
4,2019,29899,4500.0,2.0,1,0,0,0,1,0,0,0
5,2020,30999,1000.0,2.0,1,0,0,0,1,0,0,0
6,2020,35999,500.0,2.0,1,0,0,0,1,0,0,0
7,2019,37990,1412.0,3.0,1,0,0,0,0,0,0,1
8,2019,28990,3569.0,2.0,1,0,0,0,1,0,0,0
9,2019,28990,3635.0,2.0,1,0,0,0,1,0,0,0
10,2013,9995,44900.0,1.6,1,0,0,0,0,0,0,1
11,2012,6995,88200.0,2.1,1,0,0,0,1,0,0,0
12,2012,7495,115000.0,2.1,1,0,0,0,1,0,0,0
13,2011,8995,69250.0,2.1,1,0,0,0,1,0,0,0
14,2015,14995,49850.0,2.1,1,0,0,0,1,0,0,0
15,2013,8595,82685.0,2.1,1,0,0,0,1,0,0,0
16,2016,19250,32506.0,2.1,0,0,0,1,1,0,0,0
17,2017,23500,17000.0,2.1,0,0,0,1,1,0,0,0
18,2018,24995,17744.0,2.0,0,0,0,1,1,0,0,0
19,2016,29995,64291.0,4.0,0,0,0,1,0,0,0,1
20,2014,17990,41011.0,2.0,1,0,0,0,0,0,0,1
21,2016,14477,72000.0,1.6,1,0,0,0,1,0,0,0
22,2013,10977,72000.0,2.1,1,0,0,0,1,0,0,0
23,2016,17977,40000.0,1.6,1,0,0,0,1,0,0,0
24,2015,12790,52000.0,2.1,1,0,0,0,1,0,0,0
25,2017,14488,66472.0,2.1,1,0,0,0,1,0,0,0
26,2011,7500,91000.0,2.1,0,1,0,0,1,0,0,0
27,2013,9750,69700.0,2.1,1,0,0,0,1,0,0,0
28,2015,15995,39000.0,1.6,1,0,0,0,1,0,0,0
29,2016,15675,39287.0,2.1,0,1,0,0,1,0,0,0
30,2016,16475,40569.0,2.1,0,1,0,0,1,0,0,0
31,2016,15975,37419.0,2.0,0,1,0,0,0,0,0,1
32,2016,16475,34452.0,2.1,1,0,0,0,1,0,0,0
33,2015,15975,41567.0,2.1,1,0,0,0,0,1,0,0
34,2015,16495,41130.0,2.0,1,0,0,0,0,1,0,0
35,2017,17795,37778.0,2.1,1,0,0,0,1,0,0,0
36,2017,17875,44325.0,2.1,1,0,0,0,1,0,0,0
37,2016,14000,45000.0,2.1,1,0,0,0,1,0,0,0
38,2017,16500,75000.0,1.6,1,0,0,0,1,0,0,0
39,2016,21000,36000.0,2.1,1,0,0,0,1,0,0,0
40,2015,15500,64000.0,2.1,1,0,0,0,1,0,0,0
41,2013,7250,106000.0,2.1,0,1,0,0,1,0,0,0
42,2015,13000,67150.0,2.1,1,0,0,0,1,0,0,0
43,2012,11000,43426.0,1.6,1,0,0,0,0,0,0,1
44,2016,13300,42622.0,2.1,0,1,0,0,1,0,0,0
45,2016,16000,34903.0,2.1,0,1,0,0,1,0,0,0
46,2014,12500,35345.0,2.1,1,0,0,0,1,0,0,0
47,2015,14495,23146.0,2.0,0,1,0,0,0,0,0,1
48,2017,24500,16000.0,2.1,1,0,0,0,1,0,0,0
49,2013,23990,44000.0,6.2,1,0,0,0,0,0,0,1
50,2015,17250,30000.0,2.1,1,0,0,0,1,0,0,0
51,2015,14200,22000.0,1.6,1,0,0,0,0,0,0,1
52,2017,22950,19000.0,2.0,1,0,0,0,0,0,0,1
53,2013,10500,90000.0,2.1,1,0,0,0,1,0,0,0
54,2014,15650,32000.0,2.1,1,0,0,0,1,0,0,0
55,2015,14850,90000.0,2.1,1,0,0,0,1,0,0,0
56,2017,22400,37000.0,2.1,1,0,0,0,1,0,0,0
57,2017,19950,23000.0,2.1,1,0,0,0,1,0,0,0
58,2014,9990,78000.0,2.1,1,0,0,0,1,0,0,0
59,2015,11990,47000.0,2.1,1,0,0,0,1,0,0,0
60,2017,20990,18000.0,2.1,1,0,0,0,1,0,0,0
61,2015,14490,64000.0,2.1,1,0,0,0,1,0,0,0
62,2013,10490,50000.0,2.1,1,0,0,0,1,0,0,0
63,2016,15990,65000.0,2.1,1,0,0,0,1,0,0,0
64,2016,17850,38000.0,2.1,1,0,0,0,1,0,0,0
65,2016,16450,70000.0,2.1,1,0,0,0,1,0,0,0
66,2013,11350,69000.0,2.1,1,0,0,0,1,0,0,0
67,2014,12900,41000.0,1.6,1,0,0,0,0,0,0,1
68,2018,26000,16250.0,1.5,1,0,0,0,0,0,0,1
69,2017,22767,30676.0,2.1,1,0,0,0,1,0,0,0
70,2015,12000,40005.0,2.1,1,0,0,0,1,0,0,0
71,2017,18999,38000.0,2.0,1,0,0,0,0,1,0,0
72,2016,14000,45000.0,2.1,1,0,0,0,1,0,0,0
73,2015,12000,40005.0,2.1,1,0,0,0,1,0,0,0
74,2009,4343,120000.0,2.1,1,0,0,0,1,0,0,0
75,2016,16500,51936.0,2.1,1,0,0,0,1,0,0,0
76,2019,27750,4000.0,1.9,1,0,0,0,1,0,0,0
77,2019,28950,8500.0,1.9,1,0,0,0,1,0,0,0
78,2007,3495,119168.0,1.8,1,0,0,0,0,0,0,1
79,2017,59740,21800.0,4.0,1,0,0,0,0,0,0,1
80,2019,44990,19999.0,4.0,1,0,0,0,0,0,0,1
81,2019,54990,1600.0,4.0,1,0,0,0,0,0,0,1
82,2015,15995,46221.0,2.1,1,0,0,0,1,0,0,0
83,2016,14000,45000.0,2.1,1,0,0,0,1,0,0,0
84,2015,12000,40005.0,2.1,1,0,0,0,1,0,0,0
85,2017,22767,30676.0,2.1,1,0,0,0,1,0,0,0
86,2014,12998,52712.0,2.1,0,0,0,1,1,0,0,0
87,2017,17998,59858.0,2.1,0,0,0,1,1,0,0,0
88,2019,28998,22.0,1.6,0,1,0,0,0,0,0,1
89,2017,24998,28234.0,2.0,0,0,0,1,0,0,0,1
90,2016,19498,22803.0,2.1,0,0,0,1,1,0,0,0
91,2018,23498,17093.0,2.1,0,0,0,1,1,0,0,0
92,2019,25498,8150.0,1.6,0,0,0,1,1,0,0,0
93,2019,24998,9344.0,2.0,0,0,0,1,1,0,0,0
94,2016,18498,31891.0,2.0,0,0,0,1,0,1,0,0
95,2014,15498,36243.0,2.1,0,0,0,1,1,0,0,0
96,2017,20995,33000.0,2.1,0,0,0,1,1,0,0,0
97,2018,31995,11300.0,3.0,0,0,0,1,0,0,0,1
98,2017,23995,32800.0,2.1,0,0,0,1,1,0,0,0
99,2014,16995,37600.0,2.1,1,0,0,0,1,0,0,0
100,2017,24995,14000.0,2.0,1,0,0,0,0,0,0,1
101,2014,26998,24175.0,6.2,0,0,0,1,0,0,0,1
102,2016,20498,27968.0,2.1,0,0,0,1,1,0,0,0
103,2018,27498,9255.0,2.0,0,0,0,1,1,0,0,0
104,2016,16998,26973.0,1.6,0,0,0,1,1,0,0,0
105,2018,27498,12491.0,2.1,0,0,0,1,1,0,0,0
106,2019,27698,14999.0,2.0,0,0,0,1,1,0,0,0
107,2016,27498,37941.0,3.0,0,0,0,1,0,0,0,1
108,2019,32498,11301.0,2.0,0,0,0,1,1,0,0,0
109,2019,24498,12629.0,2.1,0,0,0,1,1,0,0,0
110,2017,21498,20981.0,2.1,0,0,0,1,1,0,0,0
111,2017,18998,23760.0,2.1,0,0,0,1,1,0,0,0
112,2014,15998,26216.0,2.1,0,0,0,1,1,0,0,0
113,2013,9298,80485.0,2.1,0,0,0,1,1,0,0,0
114,2018,22998,18739.0,2.1,0,0,0,1,1,0,0,0
115,2016,12998,53453.0,2.1,0,1,0,0,1,0,0,0
116,2016,22998,23090.0,2.1,0,0,0,1,1,0,0,0
117,2016,17998,26100.0,2.1,0,1,0,0,1,0,0,0
118,2019,28498,4285.0,2.0,0,0,0,1,1,0,0,0
119,2016,18998,28388.0,1.6,0,0,0,1,1,0,0,0
120,2017,20998,16902.0,2.1,0,0,0,1,1,0,0,0
121,2016,21998,31227.0,2.1,0,0,0,1,1,0,0,0
122,2015,13998,24010.0,1.6,0,1,0,0,1,0,0,0
123,2019,24498,15838.0,2.0,0,0,0,1,1,0,0,0
124,2017,20998,17657.0,2.1,0,0,0,1,0,1,0,0
125,2019,30498,4977.0,2.0,0,0,0,1,1,0,0,0
126,2016,19498,24756.0,2.1,0,0,0,1,1,0,0,0
127,2014,15298,41416.0,2.1,0,0,0,1,1,0,0,0
128,2019,33998,3814.0,1.5,0,0,0,1,0,0,0,1
129,2019,32998,17.0,1.5,0,0,0,1,0,0,0,1
130,2016,16498,37080.0,2.1,0,0,0,1,1,0,0,0
131,2016,15498,73582.0,2.1,0,0,0,1,1,0,0,0
